indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2008-07-01,133.3885159930425,135.5866045739706,132.4579620846629,0.060060161436698234,0.007082954422400256,-0.013577816704759438
2008-10-01,126.4629159764191,129.37883758668036,128.98288325962199,-0.01978990884139098,-0.04578451541577999,-0.026235333613390255
2009-01-01,119.26096109941807,124.74819168126474,125.5469992566312,-0.06188755144024416,-0.035791370457422866,-0.026638294292700038
2009-04-01,130.11296246690188,121.65738525442093,124.10955638525179,-0.11274547152620884,-0.024776362568372234,-0.011449440288422319
2009-07-01,125.85049090289608,126.53599739597912,125.45370423391991,-0.05651179964052966,0.04010124113185243,0.010830333197676678
2009-10-01,126.81953915618163,129.1023792791319,128.83777626247237,0.002819982261274445,0.020281832332040617,0.026974668059562168
2010-01-01,126.07466074724418,133.14617292592047,132.91606131017167,0.05713269107521346,0.031322378947374,0.03165441973626493
2010-04-01,151.24877167717037,138.8363591110947,136.6493432179137,0.16244199509057378,0.04273638558383608,0.028087515315625255
2010-07-01,137.81603134583528,139.5701583401776,139.61619880638776,0.09507742367228111,0.0052853534461800855,0.021711451505060264
2010-10-01,137.73843910112075,141.32521247810556,141.9508220505868,0.08609793110422981,0.012574709083945423,0.016721721864355832
2011-01-01,136.52954855206585,144.72410268457767,144.0074369403226,0.08292616250446816,0.024050133354645897,0.014488221061537132
2011-04-01,157.96927454429692,146.29654462528595,145.78814853339327,0.04443343765773511,0.010865100640045977,0.012365414112665674
2011-07-01,146.64916682881935,147.5735977165144,146.66683895530443,0.06409367180816727,0.00872920884426498,0.006027173201324398
2011-10-01,144.92443513523605,147.4781800170039,146.18289599115994,0.0521713189216535,-0.0006465770367257706,-0.0032996072431339396
2012-01-01,138.66520782643724,146.07783533479423,144.9234084793673,0.01564246931906421,-0.00949526690692959,-0.00861583363260765
2012-04-01,150.65252125980354,140.82344982806208,144.17334478779938,-0.046317572234223725,-0.035969765671086784,-0.005175586880256988
2012-07-01,145.0091977083871,145.37046146005284,144.7133428336987,-0.011182941955248604,0.032288739109448183,0.0037454776865593065
2012-10-01,145.72993096652286,147.78511112136752,146.18992723561695,0.005558040164415079,0.016610318472286112,0.01020351249583884
