date,revenue,expenditure
2012-12-01,66072.1,81809.1
2013-01-01,65163.9,64542.5
2013-02-01,59836.4,62868
2013-03-01,60499.5,66430.9
2013-04-01,70363.4,69132.7
2013-05-01,76801,75354.5
2013-06-01,75606.3,83854.8
2013-07-01,84173.6,86278.7
2013-08-01,76613.8,80408.1
2013-09-01,75146.7,88132.4
2013-10-01,78239.3,89589.7
2013-11-01,74800.9,86221
2013-12-01,82837.3,109007
2014-01-01,91756.3,94078.9
2014-02-01,83396.9,90775.2
2014-03-01,79052.2,88379.8
2014-04-01,97786.7,102064.6
2014-05-01,103156,105139.1
2014-06-01,106625.8,130755.49
2014-07-01,113483.3,121941.4
2014-08-01,102392.5,119924
2014-09-01,105471.8,126639.3
2014-10-01,106943.7,124179
2014-11-01,110261,124925.7
2014-12-01,132489.7,163324.3
2015-01-01,118507.5,124736
2015-02-01,105801.6,121768.2
2015-03-01,104531.8,128010.1
2015-04-01,123438.2,144214.4
2015-05-01,126649,135126.4
2015-06-01,167219.2,190651.6
2015-07-01,150939.2,163979.5
2015-08-01,130912.4,150704.4
2015-09-01,134012.9,158315.1
2015-10-01,135042.9,158171.6
2015-11-01,133678.1,157698.2
2015-12-01,168758.8,212929.1
2016-01-01,144714.8,145579.8
2016-02-01,134294.6,151962.9
2016-03-01,162235.6,194454.4
2016-04-01,157311.4,170611.8
2016-05-01,181950.3,196745.3
2016-06-01,198611.9,244302
2016-07-01,180364.4,207330.9
2016-08-01,172022.7,211024.3
2016-09-01,180336.5,220680.7
2016-10-01,186352,250020.8
2016-11-01,205504.2,220144.2
2016-12-01,324702,386629
2017-01-01,204726.9,205259.9
2017-02-01,180463.2,215524
2017-03-01,213343.6,237484.3
2017-04-01,214362.3,236447.1
2017-05-01,212881.4,244152
2017-06-01,246372.1,306865.4
2017-07-01,227814.6,254982
2017-08-01,220525.3,251882.9
2017-09-01,226618.8,261642.6
2017-10-01,227048.1,264896.6
2017-11-01,232681.6,268901
2017-12-01,285467.1,419519.5
2018-01-01,234871.7,238329.3
2018-02-01,212178.1,240865.1
2018-03-01,239794.5,279823
2018-04-01,231988.7,258263.9
2018-05-01,251277.3,269418.6
2018-06-01,310879.1,376286.4
2018-07-01,270446.3,299331
2018-08-01,274791.6,303624.5
